node_id,node_name,node_summary,node_et_equivalent
1056,Aposterioorne otsustus,,
6939,Vaba tahe,"Vabaks tahteks ehk tahtevabaduseks nimetatakse filosoofias võimalikkust teha vabalt otsuseid (valikuid) oma eelseisvate toimingute ja tegude üle.  Mõiste täpne sisu oleneb kontekstist ja filosoofilisest positsioonist.   Kui tahtevabadust eristatakse teovabadusest, siis peetakse tahtevabaduse all tavaliselt silmas vaba valiku võimalust.   Vaba tahet või vähemalt teovabadust peetakse moraalse vastutuse üheks oluliseks eelduseks.  Samuti peetakse vaba tahet tegude kiiduväärsuse, inimese väärikuse ning .",Free will
6093,Skulptuur,"pisi|Antiikskulptuuride järgi tehtud kipskoopiad Tartu Ülikooli Kunstimuuseumis pisi|Guanyini puuskulptuur Hongkongi kunstimuuseumis  Skulptuur (ladina keeles sculptura) on kujutava kunsti põhiliike graafika ja maalikunsti kõrval, mille peamiseks väljendusvahendiks on vorm.   Skulptuur on ruumiline ehk kolmemõõtmeline kunstiteos.  See võib olla vabalt seisev ja ümberringi töödeldud nn ümarplastika või esineda mingi pinna külge liidetud reljeefina, millel on välja töötatud ainult esikülg.  Materjali.",Sculpture
6915,Uusaja teadusrevolutsioon,,
4007,Leipzig,"Leipzig [l'eiptsig] (saksapäraselt [l'aiptsih]) on linn Saksamaa idaosas Saksimaal.  Asub Weisse Elsteri ääres.   Leipzig on Saksimaa suurim linn.   Ajalugu Leipzigit on mainitud esimest korda 1015.  aastal (urbs Libzi), kui seal asus slaavlaste asula.  Leipzigil on linnaõigused alates 1165.  aastast.   Aastal 1409 asutati Leipzigi ülikool.   Aastal 1813 toimus linna lähedal Leipzigi lahing (tuntud ka kui Rahvastelahing), kus Napoleoni väed said lüüa.   Vaatamisväärsused Tooma kirik (Thomaskirche), kirik.",Leipzig
5851,Roman Dilcher,,
3252,John McDowell,"thumb|John McDowell Pariisis oktoobris 2007 John Henry McDowell (sündinud 7.  märtsil 1942 Boksburgis Lõuna-Aafrika Vabariigis) on Lõuna-Aafrika filosoof, kes on olnud Oxfordi Ülikooli University College'i liige ja on nüüd Pittsburghi Ülikooli professor.   Ehkki ta on kirjutanud ulatuslikult metafüüsikast, epistemoloogiast, antiikfilosoofiast ja metaeetikast, on McDowelli mõjukaim töö jäänud vaimufilosoofia ja keelefilosoofia valda.  2010.  aastal oli McDowell üks kolmest Andrew W.  Melloni Fondi väl.",John McDowell
3514,Keeleline fenomenalism,,
2363,Frank Lewis,,
21,12. veebruar,"12.  veebruar on Gregoriuse kalendri 43.  päev.  Juliuse kalendri järgi 30.  jaanuar (1901–2100).    Sündmused   Eestis   1425 – Rooma kuningas Sigismund läänistas Sopronis Tartu piiskopkonna piiskop Theoderichile.   1457 – Valmiera maapäeval sõlmisid Liivimaa seisused maarahu, mis kestis ligi kümme aastat.   1896 –   1919 – Ajutine Valitsus otsustas lugeda Vabariigi väljakuulutamise päevaks 24.  veebruari.   1925 – Riigikogu võttis vastu vähemusrahvuste kultuuromavalitsuste seaduse.  Seaduse kohaselt sai.",February 12
5869,Rootsi keel,"Rootsi keel (rootsi keeles svenska) kuulub indoeuroopa keelkonna germaani keelte skandinaavia idarühma, ta on taani ja norra keelega lähedalt suguluses ning on nii kõnes kui kirjas vastastikku mõistetav.  Keel arenes välja vanapõhja keelest.   Rootsi keel on alates 1.  juulist 2009 Rootsi ametlik keel (seaduses: ""peamine keel"") ja de iure Soome riigikeel soome keele kõrval.   Varem olid rootsikeelsed kogukonnad ka Eestis (Aibolandis), peamiselt saartel (Hiiumaal, Saaremaal, Vormsil ja Ruhnus).  Roots.",Swedish language
7012,Valikkursus,,
4583,Michael Savonius,,
2526,George Stout,,
6440,Teadvus,"Teadvus on aju funktsioon, mida põhjustavad miljardite närvirakkude ehk neuronite omavaheline suhtlemine ja koostöö, mis väljendub võimes tunda või olla enesest teadlik.  Seda on defineeritud veel mitmeti:    Teadvus on keerukate elusorganismide elutegevusega kaasnev ajus loodud töökeskkond, võime kiiresti ja suures koguses vastu võtta (taju, tunnetus) ja töödelda teavet (kategoriseerimine, arutlemine, kogemuse üldistamine, tegevuse eesmärgipärane kavandamine ja tähelepanu tahteline suunamine) ni.",Consciousness
3180,Jean-Marie Gustave Le Clézio,"Jean-Marie Gustave Le Clézio (sündinud 13.  aprillil 1940 Nice'is) on prantsuse kirjanik.  Ta on võitnud Renaudot' auhinna ja Nobeli kirjandusauhinna 2008.  aastal.   Teoseid  ""Procès-verbal"" (1963)  ""La Fièvre"" (1965)  ""Désert.  Roman"" (1980)  ""Onitsha.  Roman"" (1991)  ""Étoile errante"" (1992)  ""Poisson d'or"" (1997)  ""L'Africain"" (2004)   ""Ritournelle de la faim"" (2008)   Teosed eesti keeles   ""Päev, mil Beaumont tegi tutvust oma valuga"" (Le jour où Beaumont fit connaissance avec sa douleur, novell ko.",J. M. G. Le Clézio
6564,The Nature of Existence,"""The Nature of Existence"" (""Eksisteerimise loomus"") on filosoof John McTaggart Ellis McTaggarti kaheköiteline teos.    Esimene köide ilmus 1921, teine köide 1927.  Teises köites on esitatud muuhulgas samad argumendid aja mittereaalsuse kasuks mis tema artiklis ""The Unreality of Time"" (1908).     Põhiteese Eksisteerimine langeb mahuliselt kokku reaalsusega.  Reaalsus on eksisteerivate asjade defineerimatu tunnus (characteristic; omadus või suhe).  Eksisteerivate asjade tunnused ja võimalused eksisteer.",
1641,De ente et essentia,,
5689,Ramsey lause,"Mingi teooria Ramsey lause on lause, mis saadakse, kui teooria kogu sisu kirjeldavas lauses asendatakse iga teoreetiline termin eri muutujaga, iga muutuja ulatuseks võetakse kogu lause ning lisatakse iga muutuja puhul olemasolukvantor.  Seega sisaldab Ramsey lause ainult vaatlustermineid.     Selle tehnika teoreetiliste terminite kõrvaldamiseks teooria empiirilist sisu säilitades pakkus välja Frank Ramsey.  Loogilise empirismi raames arendas seda Carl Hempel (1958).  Oma versiooni sellest tehnikast .",Ramsey sentence
7324,Xiao,,
119,1751,"1751.  aasta (MDCCLI) oli 18.  sajandi 51.  aasta.    Sündmused maailmas    . . .    Sündmused Eestis    . . .    Sündinud    9.  mai – Jakob Friedrich von Abel, saksa filosoof, psühholoog ja pedagoog   Surnud    . . .    1751.",1751
1351,Bioeetika,"Bioeetikaks nimetatakse tavaliselt eetika valdkonda, mis tegeleb peamiselt inimeluga.  Interdistsiplinaarselt hõlmab see ka meditsiineetika ja keskkonnaeetika.   Bioeetika traditsiooniliste probleemide hulka kuuluvad abordi, inimese geneetilise muundamise, elundite transplantatsiooni, eutanaasia jms küsimused.  Bioeetika on bioloogia- ja meditsiinivallast tulenevaid eetikaprobleeme käsitlev teadussuund.  Bioeetikud tegelevad meditsiinitavade moraalsete ja eetiliste küsimustega, mis lähtuvad looduste.",Bioethics
6021,Serbia vürstkond," Vaata ka: Serbia vürstkond (keskaegne)  Serbia vürstkond (serbia: Кнежевина Србија / Kneževina Srbija) oli poolsõltumatu riik Balkani poolsaarel, mis tekkis Serbia revolutsiooni tulemusena, mis toimus aastatel 1804 kuni 1817.  Selle loomist arutati esialgu Teise Serbia ülestõusu juhi Miloš Obrenovići ja Osmanite ametniku Marašli Paša suulise kokkuleppe kaudu.  Sellele järgnes rida õiguslikke dokumente, mille avaldas Kõrk Värav aastatel 1828, 1829 ja lõpuks aastal 1830 — Hatt-i Sharif.    Ajalugu  .",Principality of Serbia
7141,Villem Alttoa,"Villem Alttoa (kuni 1934 Villem Alto; 31.  oktoober 1898 Karepa, Maria vald, Haljala kihelkond, Virumaa – 3.  juuni 1975 Tartu) oli eesti õpetaja, haridustegelane ja kirjandusteadlane.   Oli 1917.  aastal Vene sõjaväkke mobiliseerituna esimeses maailmasõjas, langes 1917.  aastal Muhu saarel Saksa sõjavangi, oli aastatel 1918–1920 interneerituna Prantsusmaal.   1924–1929 õppis ta Tartu Ülikooli filosoofiateaduskonnas.  1931.  aastal kaitses ta filosoofiamagistri kraadi väitekirjaga ""J.  W.  Goethe eesti ke.",
2260,Fantaasia,"Fantaasia (vanakreeka keeles phantasia 'kujutlus') on teadlikult ebareaalne ettekujutus või inimliku ettekujutamise võime.   Antiikfilosoofias ei tähendanud fantaasia ebareaalse ette kujutamist, vaid pigem oli see vahetu tunnetuse vastuvõtmise tulemus.  Seda selgitatakse läbi phantasia seotuse verbiga phainetai 'ilmnema, paistma', millest lähtuvalt on fantaasia kõik, mis inimesele mingil viisil ilmneb või paistab, st eelkõige olev.  See, et ilmneb midagi, mis ei ole, on kreekaliku mõtlemise raames .",Fantasy (psychology)
1760,Dioscorus,,
174,1826,"1826.  aasta (MDCCCXXVI) oli 19.  sajandi 26.  aasta.    Sündmused Eestis   Lõuna-Eestis, vähem ka mujal algavad massilised kroonumõisate mõõdistamised ja reguleerimisedEesti ajalugu: kronoloogia.  2007.  Koostanud Sulev Vahtre.  Teine trükk.  Kirjastus Olion.  Lk 122.   . . .    Sündmused maailmas   1.  veebruar – Kölni gümnaasiumi füüsikaõpetaja Georg Simon Ohm avastab, et elektriahela vool võrdub pinge ja takistuse jagatisega (Ohmi seadus).    Sündinud   8.  märts – Johann Köler, eesti maalikunstnik  17.  mai.",1826
4403,Martha Nussbaum,,
4346,Marburgi koolkond,,
3342,Jutlus,"pisi|Buddha jutlustamas pisi|Jeesuse mäejutlus (Dante Gabriel Rossetti, ca 1861) thumb|250px  Jutlus on vaimuliku sisuga kõne, mida tavaliselt peab vaimulik, näiteks kristlik kirikuõpetaja või preester.  Ülekantud tähenduses nimetatakse jutlusteks ka ilmalikke manitsus- ja õpetuskõnesid.   Eesti keeles nimetatakse jutlusteks vaimulikke kõnesid eelkõige kristlikus kontekstis, kuid ka teistes usulistes traditsioonides.  Maailma tuntumate jutluste seas on Jeesuse Kristuse nn mäejutlus, kuid populaarse.",Sermon
5954,Samasuse seadus,,
4208,Luigi Pirandello,"Luigi Pirandello (28.  juuni 1867 Agrigento – 10.  detsember 1936 Rooma) oli itaalia näite- ja proosakirjanik.  1934.  aastal pälvis ta Nobeli kirjandusauhinna.   thumb|left|Pirandello büst Palermos  Teosed eesti keeles   ""Kadunud Mattia Pascal"" (romaan).  Itaalia keelest tõlkinud Valentin Pomm; eessõna: Carlo Tivoli.  Sari ""Nobeli laureaadid"", Loodus, Tartu 1935  ""Vana jumal"" (novellid: Vana jumal; Küüraka kolm mõtet; Reis; Candelora; Ninalt taevasse; Põgenemine; Ciaula avastab kuu; Õliastja; Unehirm;.",Luigi Pirandello
6211,Struktuurigeoloogia,"Struktuurigeoloogia on teadusharu, mis tegeleb kivimite ja kivimkehade koosseisu, kuju, paigutuse, deformeerituse, mõõtmete jms ehk lühidalt geoloogiliste struktuuridega.   Struktuurigeoloogia ülesandeks on, läbi geoloogiliste struktuuride tõlgendamise, taastada mingi piirkonna geoloogiline ajalugu.  Mõnikord arvatakse, et struktuurigeoloogia tegeleb vaid geoloogiliste deformatsioonide ja rikete uurimisega, mis ei ole siiski struktuurigeoloogiale olemuslik aspekt.  Piltlikult öelduna on struktuurig.",Structural geology
4501,Mehhanitsism,,
7425,Üldeitav otsustus,"Üldeitav otsustus on süllogistikas otsustus kujul ""Ükski S ei ole P"", kus S on subjekt ja P on predikaat.    Üldeitava otsustuse tähis on E.  Seda tähist seostatakse ladina sõnaga nego 'jaatan', mille esimese täishäälikuga on tegemist.  See võeti kasutusele skolastikas.  Ta esines näiteks juba Sherwoodi Williami traktaadi ""Introductiones"" 13.  peatükis ja kinnistus tänu  Petrus Hispanuse traktaadile ""Summulae logicales"".   Kategooria:Süllogistika.",
6940,Vaba tahte probleem,"Vaba tahte probleem filosoofias seisneb küsimuses, kas ja kuidas on ühitatavad väide, et inimesel on vaba tahe, ja deterministlik väide, et inimese valikud ja teod on determineeritud või ära määratud füüsikaliste loodusseadustega, inimese bioloogilise loomusega, psühholoogiliste teguritega, Jumalaga või millegi muuga.  Vastavalt sellele, mida peetakse determineerijaks, võtab vaba tahte probleem erinevaid kujusid.    Arusaam vabast tahtest tuleneb eeskätt inimese vastupandamatust subjektiivsest mul.",
2774,Hinge eeleksistents,,
5100,Opus imperfectum contra Julianum,,
2703,Henri III,"thumb|Henri III Henri III [anr'ii kolmas] (Poolas Henryk Walezy [h'enrõk val'eezõ]; 19.  september 1551 Fontainebleau loss – 2.  august 1589 Saint-Cloud) oli Rzeczpospolita kuningas 1573–1574 ja Prantsuse kuningriigi kuningas 1574–1589, Henri II ja Katariina de' Medici poeg.   Henri III juhtis printsina Prantsusmaa sõjaväge sõjas hugenottide vastu 13.  märtsil 1569 Jarnaci ja 3.  oktoobril 1569 Moncontouri lahingus, mis mõlemad lõppesid kuningavägede võiduga.  Ta osales Pärtliöö veresauna ettevalmista.",Henry III of France
4947,Nikomachose eetika,"pisi|1837.  aasta väljaande 1.  peatükk ""Nikomachose eetika"" (vanakreeka ἠθικὰ Νικομάχεια (ēthiká Nikomácheia)) on kolmest Aristotelese nime all pärandunud eetikat käsitlevast kirjutisest kõige tähtsam.   Et mõned selle raamatud on ühised ""Eudemose eetikaga"", siis ei ole võib-olla Aristoteles ise seda meieni jõudnud kujul koostanud.   Pole selge, miks teosel on niisugune pealkiri.  Nii Aristotelese poeg kui ka isa kandsid Nikomachose nime, aga mõeldud võib olla ka kedagi kolmandat.   Tõlge ja kommenta.",Nicomachean Ethics
6929,Uustaoism,"Uustaoism ehk neotaoism on fokaalne areng Hiina filosoofias.  Hiinapärane nimetus seesugusele suunitlusele on xuanxue, milles sõna esimene pool xuan tähendab tumedat, müstilist, tundmatut.  Sõna teine pool xue tähendab õppimist.  Modernses Hiina kultuuris võib seda samastada ka metafüüsika ja spirituaalsusega.  Seesuguses õpetuses on kombineeritud erinevaid elemente konfutsianismist ja taoismist.   Kaks mõjusat Xuanxue õpetlast olid Wang Bi ja Guo Xiang.  Mõlemad olid tõsiusklikud konfutsianistid.  Nen.",Xuanxue
1127,Arnold Toynbee,,
4524,Merike Riives,"Merike Riives (sündinud 31.  oktoobril 1945 Tallinnas) on eesti tõlkija.   Aastal 1969 lõpetas ta Tartu Riikliku Ülikooli romaani filoloogia erialal.    Ta on mitmes Tallinna koolis õpetanud prantsuse keelt.    Aastast 1984 on ta vabakutseline literaat.    Ta on tõlkinud peamiselt 20.  sajandi prantsuse kirjanike loomingut, aga ka provansi kirjandust.    Tõlkeid  ""Irrevolutsioon"" (Pascal Lainé, 1975) ""Filosoofilised jutustused"" (Voltaire, 1979) ""Opus nigrum"" (Marguerite Yourcenar, 1982) ""Reede ehk Loot.",
1402,Briti Muuseum,"pisi pisi Briti Muuseum (inglise keeles British Museum) on muuseum Suurbritannias Londonis Bloomsburys.  See on maailma üks suurimaid muuseume, Suurbritannia peamine kultuuriloomuuseum, arheoloogia ja etnograafia rahvusmuuseum.   Kogud Briti Muuseumil on rikkalik Vana-Egiptuse kogu, mis sisaldab näiteks papüüruseid, muumiaid ja Rosetta kivi, mis leiti 1799.  aastal ja mille abil dešifreeriti egiptuse hieroglüüfiline kiri.  Kui Napoleoni väed inglastele kapituleerusid, viidi Prantsuse teadusliku eksp.",British Museum
1234,Auroville,,
4124,Loogika,"Loogika on teadus mõtlemise reeglitest, struktuuridest ja vormidest.   Sõna ""loogika"" pärineb algselt vanakreeka omadussõnast λογική (logikē), mis on sõna λογικός (logikos; 'kõnega seonduv; mõtlemisega seonduv')Sissekanne Liddelli ja Scotti vanakreeka-inglise sõnastikus naissoovorm.  Seda sõna kasutati kas eraldi nimisõnana või fraasis λογικὴ τέχνη (logikē technē) 'mõtlemiskunsti' tähenduses.  Sõna on tuletatud sõnast λόγος (logos, muu hulgas 'sõna, mõiste, käsitlus, mõistus'). Eduard Vääri.  ""Võõrsõ.",Logic
6882,Upper New York Bay,"pisi|Punasega on märgitud Upper New York Bay laht Upper New York Bay või lühendatult Upper Bay laht on New Yorgi ja New Jersey sadamate keskosa, mida sageli nimetatakse New Yorgi sadamaks, kuhu voolab Hudsoni jõgi.    Geograafia Lahte ümbritsevad New Yorgi linnaosad Manhattan, Brooklyn ja Staten Island ning New Jersey osariigi Hudsoni maakonna omavalitsused Jersey City ja Bayonne.  Selles asuvad mälestuspaikadena kaitse alla võetud väikesaared Liberty Island, Ellis Island ja Governors Island.   Vaa.",Upper New York Bay
5237,Patrick White,"pisi|Patrick White Patrick Victor Martindale White (28.  mai 1912 London – 30.  september 1990 Sydney) oli Austraalia ingliskeelne kirjanik.  1973.  aastal sai ta Nobeli kirjandusauhinna.    Teosed eesti keeles   ""Hiilija öö.  Kakaduud"" (jutustused), tõlkinud ja järelsõna: Enn Soosaar.  Tallinn, Perioodika, Loomingu Raamatukogu 1979, nr 2/3 ""Inimeste puu"" (romaan), tõlkinud ja järelsõna: Vilma Jürisalu.  Tallinn, Eesti Raamat, 1983 ""Voss"" (romaan), tõlkinud Vilma Jürisalu, järelsõna: Rein Põder.  Sari ""N.",Patrick White
3521,Keeleteadus,"Keeleteadus ehk lingvistika on humanitaarteadus ja filoloogia üks põhiharusid, mis tegeleb inimkeele teadusliku uurimise ja analüüsiga.  Mõnikord kasutatakse ka mitmuse vormi ""keeleteadused"", mille all mõeldakse kõiki keelt lingvistilisest küljest uurivaid teadusharusid (näiteks foneetika, semantika, jne).  Keeleteadus on palju enamat kui koolis õpetatavad keeled ja grammatika.  Keeleteadus uurib inimkõne süsteeme ja nende kirjalikke vasteid.   Keeleteadlane ehk lingvist on inimene, kes tegeleb keel.",Linguistics
296,1929,"1929.  aasta (MCMXXIX) oli 20.  sajandi 29.  aasta.    Sündmused maailmas    Jaanuar    . . .    Veebruar   9.  veebruar – Nõukogude Liit, Eesti, Läti, Poola ja Rumeenia kirjutasid alla sõjategevusest loobumise leppele.   11.  veebruar – Lateraani lepinguga asutati Vatikani riik.    Märts    . . .    Aprill    . . .    Mai    . . .    Juuni   8.  juuni – Ramsay MacDonald sai Ühendatud Kuningriigi peaministriks.    Juuli    . . .    August    . . .    September    . . .    Oktoober  24.  oktoober – New Yorgi börsil toimus aktsi.",1929
6650,Toomas Raudam,"Toomas Raudam (sündinud 21.  juulil 1947 Paides) on eesti kirjanik (novellist, romaanikirjanik, luuletaja, esseist, stsenarist).    Toomas Raudam lõpetas 1966.  aastal Paides keskkooli ning 1973.  aastal Tartu Riikliku Ülikooli inglise filoloogina.   Aastal 1973 asus ta tööle Tartu Riikliku Ülikooli raamatukokku, seejärel töötas aastail 1977–1983 Tallinnfilmis mängufilmide toimetajana.  Ta oli neli aastat vabakutseline, 1991.  aastal asus tööle Eesti Teaduste Akadeemia raamatukokku ning oli 1992.  aasta.",Toomas Raudam
4781,Märt Läänemets,"Märt Läänemets (sündinud 14.  juulil 1962 Avinurmes) on eesti orientalist.   Tema põhilised uurimisvaldkonnad on mahajaana budism ja hiina mõttelugu.  Avaldanud tõlkeid hiina, sanskriti ja inglise keelest.  Kirjutanud arvamuslugusid tänapäeva Hiina poliitikast.   Õppinud ja täiendanud end nii Hiina Rahvavabariigis kui ka Taiwanis.   Ta oli Tartu Ülikooli orientalistikakeskuse dotsent (2016-2020) ja juhataja ning Eesti Akadeemilise Orientaalseltsi president.  Õpetab Tartu Ülikoolis mandariini hiina ja s.",
4613,Mikrobioloogia,"pisi|Mikroorganismide kasvatamine Petri tassil Mikrobioloogia (vkr mikros 'väike', bios 'elu', logos 'õpetus') on mikroorganismide ehk mikroobide uurimisega tegelev teadusharu.  Mikrobioloogia uurib eukarüootseid ja prokarüootseid mikroorganisme.  Eukarüootsete mikroorganismide hulka kuuluvad seened ja protistid, millel on membraaniseoselised organellid.  Samas prokarüootsetel organismidel, kes kõik on mikroorganismid, seesugused rakuosised puuduvad.  Prokarüootide hulka kuuluvad ka bakterid ja arhe.",Microbiology
3886,Kvantitatiivsed uurimismeetodid,"Kvantitatiivsed uurimismeetodid on teadusliku uurimise meetodid, mis keskenduvad uuritava tunnuste kirjeldamisele läbi mõõtmise, vastates esmajoones küsimusele kui palju mingit nähtust, omadust või tunnust esineb (vrd kvalitatiivsed uurimismeetodid, mis kirjeldavad nähtusi).   Kvantitatiivuuringu põhieesmärgiks on saada statistiliselt usaldusväärseid andmeid järelduste tegemiseks.  Uuringu tulemus on vähe sõltuv uurija tõlgendusest ja näitajad arvulised.  Kvaliteedi määrab valimi suurus, küsimused .",Quantitative research
2144,Ernst Jünger,"pisi|Ernst Jünger esimese maailmasõja lõpul Ernst Jünger (29.  märts 1895 Heidelberg – 17.  veebruar 1998 Riedlingen) oli saksa kirjanik.    Elu  Ernst Jünger astus 1913 Prantsuse Võõrleegioni, kust isa ta koju tagasi tõi.  Ernst sooritas 1914 kiirkorras gümnaasiumi lõpueksami ja astus vabatahtlikuna sõjaväkke, sai esimeses maailmasõjas 14 korda haavata, teda autasustati kõrgete ordenitega.  Ta oli noorim Saksa kõrgeima sõjalise autasu Pour le Mérite kavaler.  1919–1923 oli ta ametis ohvitserina, õppi.",Ernst Jünger
7396,Ökoloogia mõisteid,"''Siin on loetletud ökoloogiaalaseid üldmõisteid.  __NOTOC__ A aastaajalised muutused,  aastaaegade vaheldumisest tingitud seaduspärased muutused looduses aastarütm ehk annuaalne rütm, biosüsteemi sündmuste toimumine kord ühe aasta jooksul  abiootilised tegurid abiootilisus abüssaalikalad aerobiondid aerobioos aerofiil aerofüüdid aerohooria aeroobid aeroobne keskkond aeroobne lagunemine aeroobne protsess aeroplankton afidivoorid afootne vöönd afüllia agregatsioon agrotsönoos agroökoloogia agroöko.",
391,2. sajand,"2.  sajand ehk II sajand pKr ehk maj  2.  sajand on kristliku ajaarvamise teine sajand, mis algas 1.  jaanuaril 101 ja lõppes 31.  detsembril 200.    Sündmused    Vana-Rooma impeeriumi valitsesid ""Viis head keisrit"" (96–180): Nerva, Traianus, Hadrianus, Antoninus Pius, Marcus Aurelius.   117 – Traianuse surres oli Rooma impeerium jõudnud oma välise võimsuse tippu.   138 – rajati Hadrianuse vall.    Inimesed   Rabi Akiva Athenaios  Commodus  Galenos  Püha Eirenaios  Plinius Noorem  Plutarchos  Ptolemaios.",2nd century
2330,Formaalne loogika,,
6597,Thomas Hunt Morgan,,
2070,Enneaadid V 8,,
371,1988,"1988.  aasta (MCMLXXXVIII) oli 20.  sajandi 88.  aasta.    Sündmused maailmas    Jaanuar    . . .    Veebruar  13.  veebruar – 28.  veebruar – toimusid XV taliolümpiamängud Calgarys Kanadas.    Märts   13.  märts – ajalehes Sovetskaja Rossija ilmus Nina Andrejeva kirjutis ""Ma ei saa loobuda põhimõtetest"".   14.  märts – maailmas tähistati esimest korda pii päeva.    Mai   14.  mai – Stockholmis toimus XI Eesti laulupidu Rootsis.    Juuni  26.  juuni – Nõukogude Liidu juudid tulid Moskva tänavale, et nõuda õigust.",1988
6152,Spekulatiivne filosoofia,"Spekulatiivne filosoofia (ladina keelest: speculari, jälgima; kreeka keeles: θεωρητικός) on teadmiste saamine väljaspool kogemust, ainult mõistusliku arutelu toel.  Spekulatiivses filosoofias püütakse luua kogu olemasoleva hõlmavat seletust, mingi ühe põhimõtte alusel.   Spekulatiivne filosoofia hõlmab tõeväidete süsteeme ehk metafüüsikat nagu: spekulatiivne realism, teoloogia, skolastika, idealism ja muid ainult ettekujutusest pärinevaid arusaamu.   Spekulatiivsele filosoofiale vastandub kogemuste.",
4643,Mirjam Lepikult,"Mirjam Lepikult (sündinud 19.  veebruaril 1969) on eesti tõlkija.    Ta on tõlkinud peamiselt prantsuse keelest eesti keelde ilukirjandust, ent ka filosoofilisi ja sotsiaalteaduslikke töid, sealhulgas Michel Foucault' teoseid.    2017.  aastal valiti Lepikult Eesti Kultuurkapitali mõttekirjanduse tõlkeauhinna nominentide hulka (Marc Jimenez, „Mis on esteetika?“).    2010.  aastal kaitses Lepikult Tartu ülikoolis filosoofia erialal magistritöö ""Michel Foucault' filosoofiline nägemine kujutava kunsti nä.",
3157,Jan Łukasiewicz,,
2476,Gemmatimonas aurantiaca,"Gemmatimonas aurantiaca on gramnegatiivne aeglaselt kasvav polüfosfaati akumuleeriv fakultatiivne aeroobne bakter, mis kuulub hõimkonda Gemmatimonadetes.   Liik leiti Jaapanisthttps://bacdive. dsmz. de/index. php?search=5788&submit=Search reoveest fosforit eemaldava puhastusseadme aktiivmudast 2003.  aastal.  Ribosomaalse DNA analüüsil leiti see olevat teistest tuntud bakteritest geneetiliselt sedavõrd erinev, et selle tarbeks moodustati eraldi hõimkond.  Enne bakteri Gemmatimonas phototrophica kirjeld.",Gemmatimonas aurantiaca
4517,Mental Files,"""Mental Files"" on François Recanati filosoofiline raamat.  See ilmus 2012 Oxford University Pressi väljaandel.   Kokkuvõte Osa I Üksikmõte ja tutvus: deskriptivismi tagasilükkamine 1 Singularism ja deskriptivism  Deskriptivism on vaade, mille järgi meie vaimne suhe üksikobjektidega käib nende objektide omaduste kaudu.  Meile on kõigepealt antud omadused, mille näiteid maailmas me suudame registreerida, ja ainult kaudselt objektid.  Selle vaate järgi on see nii sellepärast, et meie teadmist objektide.",
7042,Vastandsuurus,,
